
2021-01-22 11:37:23.492	Status	Connection closed successfully
2021-01-22 11:37:38.046	Status	In StartTimerFor_RFIDReader()
2021-01-22 11:37:45.132	Status	GetDataReader1 called..
2021-01-22 11:37:46.798	Status	GetDataReader1 called..
2021-01-22 11:37:48.108	Status	GetDataReader1 called..
2021-01-22 11:37:48.175	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:37:48.180	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:37:48.189	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:37:48.203	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:37:48.233	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:37:49.228	Status	GetDataReader1 called..
2021-01-22 11:38:35.412	Status	GetDataReader1 called..
2021-01-22 11:38:35.677	Status	GetDataReader1 called..
2021-01-22 11:38:35.684	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:38:35.689	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:38:35.700	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:38:35.706	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:38:35.711	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:38:35.717	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:38:35.729	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:38:35.767	Status	GetDataReader1 called..
2021-01-22 11:38:35.787	Error	Exception occured in GetDataReader1()- Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
2021-01-22 11:38:35.792	Error	Exception occured in GetDataReader1()- System.InvalidOperationException: Cross-thread operation not valid: Control 'vehicleRFID_textbox' accessed from a thread other than the thread it was created on.
   at System.Windows.Forms.Control.get_Handle()
   at System.Windows.Forms.Control.set_WindowText(String value)
   at System.Windows.Forms.TextBoxBase.set_WindowText(String value)
   at System.Windows.Forms.Control.set_Text(String value)
   at System.Windows.Forms.TextBoxBase.set_Text(String value)
   at System.Windows.Forms.TextBox.set_Text(String value)
   at WeighBridgeApplication.Form1.GetDataReader1() in D:\Prafull\PCMC\PCMC Application New\WeighBridgeApplication\WeighBridgeApplication\Form1.cs:line 342
2021-01-22 11:38:35.875	Status	GetDataReader1 called..
